"","X","logFC","logCPM","PValue","FDR"
"16","ENSG00000170367",10.1538285930479,3.42880831512061,4.98582907363141e-71,8.98072461887858e-68
"18","ENSG00000166509",9.39155961797973,8.26908033329105,2.39535091932321e-69,3.83522297193861e-66
"21","ENSG00000135346",9.84127527971825,3.09709885331607,9.27535314769571e-67,1.27293179865043e-63
"24","ENSG00000275216",10.7793160001838,1.80781258334375,5.7373838527122e-66,6.88964177646523e-63
"32","ENSG00000145920",9.04092048319509,2.91538839327136,1.1376864231921e-61,1.02462883488739e-58
"36","ENSG00000126550",9.66736214332096,1.60477687958806,1.65395369291231e-60,1.32408181749258e-57
"43","ENSG00000198788",8.25790374334761,5.15807160183468,1.4955785143404e-58,1.00238541356489e-55
"46","ENSG00000123500",8.13835990653091,7.19219690490786,6.44737212309917e-58,4.03941879538517e-55
"53","ENSG00000240521",8.44192867361659,2.1943803220941,5.19598982043575e-56,2.82544201179166e-53
"55","ENSG00000235123",7.99719700986936,3.1980527697145,4.68037770152479e-55,2.45251791559899e-52
"57","ENSG00000171564",7.7700156429557,4.63194663325088,5.88881424401996e-54,2.97746713180097e-51
"61","ENSG00000083782",7.86503097608445,2.90425973906286,3.95525343652793e-53,1.86869514820877e-50
"64","ENSG00000184697",7.7327244303459,2.32448756621802,2.25152898413112e-51,1.01389164566654e-48
"70","ENSG00000286966",8.15705690609096,0.750243408452564,5.33673328572328e-50,2.19720933277921e-47
"73","ENSG00000153002",7.23392425503167,11.0361102334801,1.03138462199885e-49,4.07184997342558e-47
"75","ENSG00000171557",7.30490661584553,3.9889839619949,1.26537051263767e-49,4.86239708989569e-47
"76","ENSG00000164756",7.21330036658627,6.16708237092609,1.67843238558829e-49,6.36479228324401e-47
"82","ENSG00000060718",6.95269247967231,7.66695554200673,3.52575519263143e-47,1.23917395916631e-44
"83","ENSG00000099953",6.92342818115076,8.48899160960838,6.47671822089475e-47,2.24890384489382e-44
"89","ENSG00000253802",7.1500980929708,1.57038784308007,3.12108523974408e-46,1.0106705237014e-43
"90","ENSG00000127588",7.7926634177335,0.317968547115708,4.63858437528953e-46,1.48537779662049e-43
"93","ENSG00000250803",7.46934666110456,0.6183807291643,9.19482728804427e-46,2.84940776818748e-43
"95","ENSG00000258162",7.3004010521438,0.907819338838932,1.36214547091905e-45,4.13231920756706e-43
"97","ENSG00000224294",8.73786813180686,-0.533791892426548,1.61758223949655e-45,4.80605362291656e-43
"98","ENSG00000143556",6.81939745904359,4.44601108389834,1.74487410928348e-45,5.13135426832142e-43
"99","ENSG00000107807",7.38887911891614,0.890910254657396,1.87522734997999e-45,5.45899517438621e-43
"102","ENSG00000213401",8.15686524579269,-0.244557914144317,4.67253472671406e-45,1.32022010611666e-42
"104","ENSG00000159527",7.46224564741308,0.480099070827135,6.60666420682823e-45,1.8308082926999e-42
"105","ENSG00000170373",6.80872757323017,3.03856608195332,6.80098549232802e-45,1.86670858941803e-42
"108","ENSG00000174343",7.00208810265166,1.3973494546194,2.03548629202105e-44,5.43173286444876e-42
"110","ENSG00000185686",6.63262021351782,4.55262956370527,5.344007757125e-44,1.40013003236675e-41
"111","ENSG00000140297",6.63819023456104,3.62350506475472,1.05776420532405e-43,2.74637517094045e-41
"112","ENSG00000198930",8.12992294471844,-0.501362960722502,1.37253458664058e-43,3.5318256059805e-41
"113","ENSG00000221844",8.14126150192642,-0.508494436775625,1.48445545053675e-43,3.78601823756365e-41
"114","ENSG00000019505",6.53687395120924,6.15922216875458,1.89199409789374e-43,4.78309385099103e-41
"119","ENSG00000133124",6.56287188740733,3.28684607870512,6.40421652928895e-43,1.55100437289166e-40
"121","ENSG00000261776",7.69651057575922,-0.318036205275194,8.72356826587304e-43,2.07779535059885e-40
"122","ENSG00000137745",6.46378328545092,4.93182179578961,1.39635995822529e-42,3.29861426197154e-40
"125","ENSG00000273706",7.81039457727762,-0.556480958701569,3.75195079109727e-42,8.65049774395386e-40
"127","ENSG00000029559",6.76798577431718,0.965598575198318,6.3874060114438e-42,1.44948851377803e-39
"129","ENSG00000230838",6.46677798906823,2.3712646744137,1.45117566923044e-41,3.2420839369939e-39
"130","ENSG00000155886",6.51638474078701,2.12126156075649,1.72277459327644e-41,3.81925875217131e-39
"132","ENSG00000091583",7.24659740588217,0.0444345338060271,2.2557721014752e-41,4.92510242155418e-39
"133","ENSG00000128564",6.59745219935867,1.31217769682367,2.3723471439909e-41,5.14068005186599e-39
"135","ENSG00000002726",6.31088167774414,4.17944812426202,4.58356111167782e-41,9.78505416581887e-39
"138","ENSG00000234111",6.53169901864708,1.44563610334699,5.82754114920924e-41,1.21702707188558e-38
"139","ENSG00000164287",6.51109769877893,1.63262083778896,6.05697788445859e-41,1.25584246496472e-38
"142","ENSG00000170477",6.25224813579304,6.22361486451693,6.62952038275583e-41,1.34551251711988e-38
"144","ENSG00000165474",6.24426195640604,6.28855769590091,7.86392516400027e-41,1.57387724462839e-38
"145","ENSG00000105388",6.2328764572792,5.24452964627725,1.02172590491641e-40,2.03076831584075e-38
"147","ENSG00000144285",6.44486311527085,1.61490359575966,1.71841659914853e-40,3.36903172703814e-38
"151","ENSG00000285822",8.16652672544243,-1.09374585636582,2.62927781559912e-40,5.01826401626269e-38
"153","ENSG00000140519",6.1674398942169,5.38162383534177,3.91473801868378e-40,7.37403592800434e-38
"156","ENSG00000189182",6.18673708925301,3.44553654115814,6.81505596966243e-40,1.25903790413892e-37
"157","ENSG00000287952",6.35928625609574,1.31908811215467,8.10688279427785e-40,1.48815517280947e-37
"166","ENSG00000221867",6.43084295088301,0.57901140487491,1.25120068444732e-38,2.17226528468505e-36
"169","ENSG00000131914",6.58203517473339,0.252454454960004,1.5030774837508e-38,2.56323627702355e-36
"170","ENSG00000268940",7.71479537226941,-1.16285156935493,2.02333519777935e-38,3.43014825882359e-36
"174","ENSG00000118733",7.03976782696677,-0.808433967693789,3.37095788540865e-38,5.58339116422284e-36
"175","ENSG00000203933",8.20970652101638,-1.49001432577792,5.04465517566262e-38,8.30782640929123e-36
"180","ENSG00000248779",6.0205126781557,1.96587527501204,1.05016711588011e-37,1.68143423775916e-35
"182","ENSG00000287838",7.20661303910892,-0.957558374047311,1.46832536452119e-37,2.32511741788465e-35
"190","ENSG00000205696",6.11637493169561,0.871339920076312,5.59346730157834e-37,8.48440671744672e-35
"191","ENSG00000215182",6.09613849096394,0.91953568238755,7.14261954723368e-37,1.07775023744123e-34
"193","ENSG00000124260",6.5206781203402,-0.349630958766428,8.46015245057412e-37,1.26332431930335e-34
"197","ENSG00000262079",6.85460802539559,-0.823794762171177,1.15699955626897e-36,1.69262574678536e-34
"200","ENSG00000261807",6.93005714418306,-1.03788344059731,4.7073799872037e-36,6.78333456156054e-34
"201","ENSG00000166159",6.09519321291494,0.258130632513107,5.73198362731834e-36,8.2186949323042e-34
"214","ENSG00000121335",6.71791792299404,-1.08294040119268,6.73704346200712e-35,9.07297161565632e-33
"215","ENSG00000249082",6.47176322381243,-0.961645919534812,8.7232720080412e-35,1.16932418265929e-32
"220","ENSG00000101441",6.31645705808351,-0.824951845873098,2.2892398867811e-34,2.99890425168324e-32
"223","ENSG00000232679",6.01406023931361,-0.0862740628857465,3.1618998320799e-34,4.0863656125804e-32
"228","ENSG00000287861",7.03078114192383,-1.52306621187696,5.64260157440759e-34,7.13244637607135e-32
"236","ENSG00000233533",6.78857173033651,-1.50963352747671,3.51113093184667e-33,4.28774548541614e-31
"244","ENSG00000198681",6.22918679085868,-1.04582686366828,8.7311012889327e-33,1.03127188175017e-30
"247","ENSG00000203740",6.73310371019489,-1.57954204029587,1.36079332887791e-32,1.58777585984864e-30
"250","ENSG00000250418",7.23915916073213,-1.9265655195754,2.28714534179411e-32,2.63662115002025e-30
"251","ENSG00000182896",6.10205556962618,-0.881640691107699,2.35063961952115e-32,2.69902126831074e-30
"256","ENSG00000254764",6.99720340062315,-1.82989960014025,3.5147811433102e-32,3.95687470899219e-30
"257","ENSG00000285717",6.1596975134035,-1.11362479219194,3.77883860365622e-32,4.23759255087052e-30
"259","ENSG00000150361",6.21059262826268,-1.18963909437578,4.12900615480607e-32,4.59451572901587e-30
"260","ENSG00000189186",7.51969492700571,-2.10713349166423,4.26791708276364e-32,4.73082193558646e-30
"273","ENSG00000196593",6.46675422542305,-1.62606980414044,3.05587907534357e-31,3.2260232582931e-29
"283","ENSG00000158764",6.38776452325204,-1.89199116522997,1.93995308408475e-30,1.97559886513507e-28
"288","ENSG00000250102",6.98395011964869,-2.14720412138486,2.67390439732218e-30,2.67576127537587e-28
"290","ENSG00000163530",6.74508108301442,-2.01968669604159,2.80229191297295e-30,2.7848983769614e-28
"295","ENSG00000249332",6.15848911857095,-1.60560622101791,4.95947664948113e-30,4.84515650976428e-28
"297","ENSG00000277268",6.37035633634208,-1.68211318081092,5.62046847532332e-30,5.45393607605448e-28
"303","ENSG00000168135",6.22378774951749,-1.64930080090573,1.4671953731827e-29,1.3955303846576e-27
"306","ENSG00000283117",6.87713906083529,-2.2289825577407,2.20143584916063e-29,2.07337846969965e-27
"317","ENSG00000228496",6.43165109026112,-2.05914662439755,7.10914579439306e-29,6.46326756449236e-27
"343","ENSG00000264734",6.68175631482651,-2.38336056233845,7.040135940475e-28,5.91535620421253e-26
"356","ENSG00000258472",6.51481485020861,-2.22694085708075,2.30191144077586e-27,1.86351370008877e-25
"370","ENSG00000253821",6.58958297056055,-2.4832606753559,5.97362593845994e-27,4.65056035963635e-25
"387","ENSG00000250874",6.81908962268669,-2.67510075121893,1.89813879595989e-26,1.41354935657788e-24
"395","ENSG00000266736",6.47980557439888,-2.55907254224707,3.84140884182026e-26,2.80276969167747e-24
"406","ENSG00000257904",6.07394725944889,-2.36343998838901,5.93217212471493e-26,4.21096553286414e-24
"454","ENSG00000251655",6.28974285972987,-2.695992912321,1.05758622878174e-24,6.71357601618716e-23
