"underregulated_genes","X","X.1","X.2","X.3","X.4","external_gene_name"
"ENSG00000010282",74,NA,NA,NA,NA,"HHATL"
"ENSG00000018625",88,NA,NA,NA,NA,"ATP1A2"
"ENSG00000034971",28,NA,NA,NA,NA,"MYOC"
"ENSG00000036448",158,NA,NA,NA,NA,"MYOM2"
"ENSG00000068976",25,NA,NA,NA,NA,"PYGM"
"ENSG00000077009",71,NA,NA,NA,NA,"NMRK2"
"ENSG00000077522",68,NA,NA,NA,NA,"ACTN2"
"ENSG00000081248",14,NA,NA,NA,NA,"CACNA1S"
"ENSG00000084674",81,NA,NA,NA,NA,"APOB"
"ENSG00000086967",31,NA,NA,NA,NA,"MYBPC2"
"ENSG00000089250",120,NA,NA,NA,NA,"NOS1"
"ENSG00000091482",62,NA,NA,NA,NA,"SMPX"
"ENSG00000092054",3,NA,NA,NA,NA,"MYH7"
"ENSG00000101470",47,NA,NA,NA,NA,"TNNC2"
"ENSG00000101892",84,NA,NA,NA,NA,"ATP1B4"
"ENSG00000104879",6,NA,NA,NA,NA,"CKM"
"ENSG00000109061",86,NA,NA,NA,NA,"MYH1"
"ENSG00000111046",51,NA,NA,NA,NA,"MYF6"
"ENSG00000111241",352,NA,NA,NA,NA,"FGF6"
"ENSG00000111245",2,NA,NA,NA,NA,"MYL2"
"ENSG00000114854",38,NA,NA,NA,NA,"TNNC1"
"ENSG00000115593",107,NA,NA,NA,NA,"SMYD1"
"ENSG00000116981",248,NA,NA,NA,NA,"NT5C1A"
"ENSG00000120729",30,NA,NA,NA,NA,"MYOT"
"ENSG00000122367",69,NA,NA,NA,NA,"LDB3"
"ENSG00000124253",141,NA,NA,NA,NA,"PCK1"
"ENSG00000124701",39,NA,NA,NA,NA,"APOBEC2"
"ENSG00000125414",4,NA,NA,NA,NA,"MYH2"
"ENSG00000126545",162,NA,NA,NA,NA,"CSN1S1"
"ENSG00000129152",124,NA,NA,NA,NA,"MYOD1"
"ENSG00000129170",8,NA,NA,NA,NA,"CSRP3"
"ENSG00000130595",29,NA,NA,NA,NA,"TNNT3"
"ENSG00000130598",67,NA,NA,NA,NA,"TNNI2"
"ENSG00000130957",109,NA,NA,NA,NA,"FBP2"
"ENSG00000134548",152,NA,NA,NA,NA,"SPX"
"ENSG00000135222",45,NA,NA,NA,NA,"CSN2"
"ENSG00000135902",96,NA,NA,NA,NA,"CHRND"
"ENSG00000138347",149,NA,NA,NA,NA,"MYPN"
"ENSG00000140986",85,NA,NA,NA,NA,"RPL3L"
"ENSG00000141161",78,NA,NA,NA,NA,"UNC45B"
"ENSG00000143318",94,NA,NA,NA,NA,"CASQ1"
"ENSG00000143632",15,NA,NA,NA,NA,"ACTA1"
"ENSG00000144644",192,NA,NA,NA,NA,"GADL1"
"ENSG00000146809",128,NA,NA,NA,NA,"ASB15"
"ENSG00000146926",92,NA,NA,NA,NA,"ASB10"
"ENSG00000149124",106,NA,NA,NA,NA,"GLYAT"
"ENSG00000154415",11,NA,NA,NA,NA,"PPP1R3A"
"ENSG00000155657",100,NA,NA,NA,NA,"TTN"
"ENSG00000156885",60,NA,NA,NA,NA,"COX6A2"
"ENSG00000157119",33,NA,NA,NA,NA,"KLHL40"
"ENSG00000158022",160,NA,NA,NA,NA,"TRIM63"
"ENSG00000159173",66,NA,NA,NA,NA,"TNNI1"
"ENSG00000160808",155,NA,NA,NA,NA,"MYL3"
"ENSG00000163092",5,NA,NA,NA,NA,"XIRP2"
"ENSG00000163833",23,NA,NA,NA,NA,"FBXO40"
"ENSG00000164122",22,NA,NA,NA,NA,"ASB5"
"ENSG00000164879",41,NA,NA,NA,NA,"CA3"
"ENSG00000165192",56,NA,NA,NA,NA,"ASB11"
"ENSG00000165197",159,NA,NA,NA,NA,"VEGFD"
"ENSG00000165478",146,NA,NA,NA,NA,"HEPACAM"
"ENSG00000166862",163,NA,NA,NA,NA,"CACNG2"
"ENSG00000167531",40,NA,NA,NA,NA,"LALBA"
"ENSG00000167588",131,NA,NA,NA,NA,"GPD1"
"ENSG00000167676",154,NA,NA,NA,NA,"PLIN4"
"ENSG00000168079",117,NA,NA,NA,NA,"SCARA5"
"ENSG00000168333",19,NA,NA,NA,NA,"PPDPFL"
"ENSG00000168509",27,NA,NA,NA,NA,"HJV"
"ENSG00000168530",1,NA,NA,NA,NA,"MYL1"
"ENSG00000169271",137,NA,NA,NA,NA,"HSPB3"
"ENSG00000170162",58,NA,NA,NA,NA,"VGLL2"
"ENSG00000170290",37,NA,NA,NA,NA,"SLN"
"ENSG00000170807",12,NA,NA,NA,NA,"LMOD2"
"ENSG00000171819",87,NA,NA,NA,NA,"ANGPTL7"
"ENSG00000172399",72,NA,NA,NA,NA,"MYOZ2"
"ENSG00000173991",59,NA,NA,NA,NA,"TCAP"
"ENSG00000174407",17,NA,NA,NA,NA,"MIR1-1HG"
"ENSG00000174429",26,NA,NA,NA,NA,"ABRA"
"ENSG00000174697",103,NA,NA,NA,NA,"LEP"
"ENSG00000175084",63,NA,NA,NA,NA,"DES"
"ENSG00000177354",9,NA,NA,NA,NA,"C10orf71"
"ENSG00000177791",91,NA,NA,NA,NA,"MYOZ1"
"ENSG00000180209",54,NA,NA,NA,NA,"MYL11"
"ENSG00000181092",148,NA,NA,NA,NA,"ADIPOQ"
"ENSG00000181195",164,NA,NA,NA,NA,"PENK"
"ENSG00000181997",219,NA,NA,NA,NA,"AQP7P2"
"ENSG00000182533",101,NA,NA,NA,NA,"CAV3"
"ENSG00000182676",65,NA,NA,NA,NA,"PPP1R27"
"ENSG00000183091",52,NA,NA,NA,NA,"NEB"
"ENSG00000184544",50,NA,NA,NA,NA,"DHRS7C"
"ENSG00000184811",140,NA,NA,NA,NA,"TRARG1"
"ENSG00000185149",79,NA,NA,NA,NA,"NPY2R"
"ENSG00000185739",136,NA,NA,NA,NA,"SRL"
"ENSG00000186439",49,NA,NA,NA,NA,"TRDN"
"ENSG00000186466",176,NA,NA,NA,NA,"AQP7P1"
"ENSG00000186628",143,NA,NA,NA,NA,"FSD2"
"ENSG00000187288",134,NA,NA,NA,NA,"CIDEC"
"ENSG00000187481",188,NA,NA,NA,NA,"HSD3BP1"
"ENSG00000188716",221,NA,NA,NA,NA,"DUSP29"
"ENSG00000196091",77,NA,NA,NA,NA,"MYBPC1"
"ENSG00000196228",10,NA,NA,NA,NA,"SULT1C3"
"ENSG00000196296",48,NA,NA,NA,NA,"ATP2A1"
"ENSG00000197893",7,NA,NA,NA,NA,"NRAP"
"ENSG00000198650",161,NA,NA,NA,NA,"TAT"
"ENSG00000203858",34,NA,NA,NA,NA,"HSD3BP2"
"ENSG00000204460",123,NA,NA,NA,NA,"LINC01854"
"ENSG00000205678",35,NA,NA,NA,NA,"TECRL"
"ENSG00000205754",187,NA,NA,NA,NA,"SLCO1B7"
"ENSG00000214097",80,NA,NA,NA,NA,"SMCO1"
"ENSG00000226094",365,NA,NA,NA,NA,"RPL7P3"
"ENSG00000226482",218,NA,NA,NA,NA,"ADIPOQ-AS1"
"ENSG00000236208",116,NA,NA,NA,NA,"C10orf71-AS1"
"ENSG00000236333",126,NA,NA,NA,NA,"TRHDE-AS1"
"ENSG00000239474",42,NA,NA,NA,NA,"KLHL41"
"ENSG00000240045",13,NA,NA,NA,NA,"STRIT1"
"ENSG00000248746",20,NA,NA,NA,NA,"ACTN3"
"ENSG00000250538",150,NA,NA,NA,NA,"NPY2R-AS1"
"ENSG00000251325",530,NA,NA,NA,NA,""
"ENSG00000257046",172,NA,NA,NA,NA,"SLCO1B3-SLCO1B7"
"ENSG00000260746",115,NA,NA,NA,NA,"KIF18BP1"
"ENSG00000265142",118,NA,NA,NA,NA,"MIR133A1HG"
"ENSG00000265751",177,NA,NA,NA,NA,""
"ENSG00000267603",278,NA,NA,NA,NA,"LINC01028"
"ENSG00000273540",44,NA,NA,NA,NA,"AGBL1"
"ENSG00000277737",171,NA,NA,NA,NA,""
"ENSG00000278445",333,NA,NA,NA,NA,""
"ENSG00000280323",196,NA,NA,NA,NA,""
"ENSG00000286322",184,NA,NA,NA,NA,""
"ENSG00000286452",204,NA,NA,NA,NA,""
"ENSG00000286523",349,NA,NA,NA,NA,""
