"","logFC","logCPM","PValue","FDR"
"ENSG00000205293",6.73061196789135,4.43667785483336,5.73881870102335e-289,9.72364060788589e-287
"ENSG00000180483",8.31411631014533,0.134635618070154,2.10834146753385e-267,3.14115615626326e-265
"ENSG00000286953",6.04051934706541,0.833408411644344,3.85846365366433e-225,4.30218697383572e-223
"ENSG00000254139",5.10292033998835,5.17430492853228,1.07333301042594e-199,1.04506353536261e-197
"ENSG00000189295",5.50021715144329,-0.290081835138625,2.93018557609462e-184,2.59697088301822e-182
"ENSG00000226939",4.65344026320764,2.17467665590555,1.67017609791409e-175,1.36800087261612e-173
"ENSG00000257935",4.78624231728221,1.09369941844252,4.25629172667567e-172,3.36656117923443e-170
"ENSG00000227579",4.48797056331433,2.0472893127022,2.52760160366095e-166,1.89105085347491e-164
"ENSG00000269954",4.57266348220086,0.262380859205641,2.04689851706417e-156,1.44095819230801e-154
"ENSG00000286778",4.24074395625848,1.44338234288446,6.16944144688276e-149,4.06184273545719e-147
"ENSG00000089116",4.12878768359815,2.23732615396436,9.96773926268408e-148,6.48841633925942e-146
"ENSG00000233995",5.46207516937944,-1.80967634825027,1.07100768774574e-145,6.84276908076369e-144
"ENSG00000173157",4.0872911369256,1.69989388622224,1.68711795404219e-145,1.07000425837557e-143
"ENSG00000100181",4.06494170300753,6.09321661953586,4.60095777891911e-145,2.90204572314487e-143
"ENSG00000259271",4.88338063192285,-1.42015033190351,2.49029779060932e-140,1.4918049069742e-138
"ENSG00000239435",4.57310380699663,-1.00932213829083,1.08490094982649e-139,6.44323046920149e-138
"ENSG00000229559",4.1817047040761,-0.246845601877559,8.00072463226504e-135,4.56344961904688e-133
"ENSG00000227920",4.24590689881865,-0.657504644181904,8.05421127959657e-134,4.51205531408842e-132
"ENSG00000236501",3.78115903735332,1.7858532922997,6.08080776373492e-130,3.29957802752743e-128
"ENSG00000129152",3.99164915056685,-0.158398164765656,1.19615015223622e-128,6.37055932388981e-127
"ENSG00000283633",3.74593592118964,3.44699685565848,1.51080869287467e-128,8.03401576449431e-127
"ENSG00000286788",3.83960165321996,0.442574881202497,1.09930295506876e-125,5.67973193452195e-124
"ENSG00000248184",3.61510747887051,3.45760034795078,8.5801241774152e-122,4.24280389402513e-120
"ENSG00000286371",3.73228413383347,0.322009768995082,1.14296291546856e-120,5.60376073378309e-119
"ENSG00000244342",3.69070746491099,0.65194561441458,2.61779804305549e-119,1.2655131378771e-117
"ENSG00000278192",3.47309150869216,4.19788594123257,5.51826797061319e-115,2.53305355118519e-113
"ENSG00000227432",3.43534840723043,2.36603638363936,1.16733065306601e-112,5.25374791969095e-111
"ENSG00000165762",3.66535877876132,-0.642546141836622,7.20815081603049e-111,3.16984393073911e-109
"ENSG00000112164",3.39117487747975,2.63935308793564,8.94170106376521e-111,3.92719056250374e-109
"ENSG00000138653",3.39581073507109,0.859625779375726,1.73950787155348e-110,7.63021441373681e-109
"ENSG00000163206",3.64647558137416,-0.425917755878637,1.77664685413882e-110,7.78324442500739e-109
"ENSG00000287458",3.4841478214449,0.0417560057089685,2.05171010113957e-107,8.75522958591224e-106
"ENSG00000287285",4.9645863752592,-2.90915755519936,1.23762769187981e-100,4.85018153852899e-99
"ENSG00000152254",3.2935494261104,0.00717505723576959,1.93441910467615e-99,7.49587403062009e-98
"ENSG00000162009",3.47663142650219,-1.09441313658786,2.88763702890327e-99,1.11645608393782e-97
"ENSG00000282012",3.48521722210045,-1.05875599984352,3.38007127192576e-98,1.29096313275264e-96
"ENSG00000227098",3.39593171949234,-0.785125258219494,5.52748010957567e-98,2.10647574407368e-96
"ENSG00000101311",3.11753506584397,6.454645480866,9.34455525383495e-98,3.55329540537739e-96
"ENSG00000205809",3.11739351836583,3.74368321193254,1.53880980693641e-97,5.82573504674229e-96
"ENSG00000266968",3.08854155381676,1.43704483179045,1.18653854469382e-95,4.39578829553503e-94
"ENSG00000286364",3.0354101194141,1.55583317606568,3.47366513823041e-93,1.24810016115316e-91
"ENSG00000258710",3.25024129878166,-0.700453008470146,7.77938861209978e-93,2.78358765400858e-91
"ENSG00000125845",3.00922606879171,6.13526775388757,1.40286584858462e-92,4.98356197906757e-91
"ENSG00000279205",3.02795106676628,1.21465831902943,1.7313312303471e-92,6.13150245665447e-91
"ENSG00000280809",2.97727342795282,4.01724685762328,5.63279142818569e-91,1.9430881807908e-89
"ENSG00000137731",2.98978439592992,1.11804194114684,1.43138860734951e-90,4.91320230516741e-89
"ENSG00000132874",2.97260635325708,1.28418442693083,3.20251116269365e-90,1.09166467789454e-88
"ENSG00000286474",3.24410474368305,-1.31974920203075,5.60900312572484e-90,1.89887554398315e-88
"ENSG00000106178",3.37833046114658,-1.59810509504911,6.84733196832221e-90,2.31583199104753e-88
"ENSG00000250284",2.91853319155944,1.93782143558445,1.10840168396563e-87,3.66270594706233e-86
"ENSG00000180383",3.30570871093781,-1.54421829436996,1.11332362141384e-87,3.67545663554626e-86
"ENSG00000248518",3.09448014910199,-0.388389050289914,1.92073913654349e-86,6.26324040137979e-85
"ENSG00000231475",3.09796435810348,-0.778145248365062,2.30052122099523e-86,7.47345075222746e-85
"ENSG00000260532",3.29739122331055,-1.75537778809412,6.26893824151455e-86,2.0213232305779e-84
"ENSG00000164363",4.35287473002446,-3.01623065793511,7.97389854815211e-86,2.56150374829812e-84
"ENSG00000253953",2.86458332235728,2.38142260574227,1.74910090868675e-85,5.59793267673681e-84
"ENSG00000205323",3.00115471898982,-0.275553516375577,7.47635512913196e-85,2.36648548570006e-83
"ENSG00000188162",2.83140978776656,1.93515370451534,4.47822855115423e-84,1.40208306042252e-82
"ENSG00000287642",2.83471708353595,1.24479867047099,1.5266996676619e-83,4.75837457283442e-82
"ENSG00000261122",4.51370676660774,-3.22244246439576,1.47729683684082e-81,4.51483334795782e-80
"ENSG00000145642",2.78666126381399,0.232451398908809,1.43298655213526e-80,4.32586726415329e-79
"ENSG00000248587",2.73650727718484,2.83092313907498,1.3636377500783e-79,4.06679368692464e-78
"ENSG00000220256",2.86785599906454,-0.48974637525962,2.06267660641454e-79,6.13566410505325e-78
"ENSG00000259025",4.16888598020621,-3.06576134263335,2.88458811870091e-79,8.53645447970008e-78
"ENSG00000188404",2.71475524768221,6.60873717925872,6.7504534274794e-79,1.98072515043146e-77
"ENSG00000176294",2.71695886701391,2.10551894064489,9.92110665825722e-79,2.90859246516252e-77
"ENSG00000234688",2.71989669337723,0.807195288740709,1.70455434442089e-78,4.98038215679696e-77
"ENSG00000204110",3.07999340708959,-1.66292929102,1.83780779072675e-78,5.36518803095187e-77
"ENSG00000183304",4.27232669905382,-3.17156162418948,3.3817896578782e-78,9.82282012811429e-77
"ENSG00000105251",2.69409963855331,7.0464144250773,5.86752835700656e-78,1.69858557504131e-76
"ENSG00000164265",3.16721633374993,-1.9237666191522,7.18877690998553e-78,2.07759259108403e-76
"ENSG00000132911",2.73052969529103,0.286543855217502,7.38049983809849e-78,2.13121952300647e-76
"ENSG00000231419",2.69191676086479,6.19943853477212,7.63091842459915e-78,2.20169194779858e-76
"ENSG00000183090",2.69392507017881,3.35823811400145,8.10991955563612e-78,2.33599474533802e-76
"ENSG00000227695",2.70677913649415,1.04875083998175,1.96385196587115e-77,5.60070488451619e-76
"ENSG00000100867",2.68388151531369,2.45086747795043,4.07146206898645e-77,1.15541942869061e-75
"ENSG00000119283",2.66235175515838,5.96611121947708,1.63817244886421e-76,4.59979128310248e-75
"ENSG00000180458",2.69377297141416,0.685901726133977,1.91039350175551e-76,5.35980124904053e-75
"ENSG00000119973",2.65347962340757,4.54338533824929,4.15545719769928e-76,1.15833369385867e-74
"ENSG00000166292",2.635608274304,6.6744037896623,2.63530758691675e-75,7.26390803363457e-74
"ENSG00000260496",2.72970077851026,-0.092401757479097,1.09658722365422e-74,2.99632706605598e-73
"ENSG00000271579",2.85795177866793,-1.16298365253529,1.24486465396308e-73,3.36162084095578e-72
"ENSG00000236311",2.6124412502462,0.200245066810605,1.50022717093003e-73,4.04487926389988e-72
"ENSG00000124233",3.23347662973478,-2.44340386869756,2.21978068206679e-73,5.96167204938916e-72
"ENSG00000226535",3.00506008365234,-1.90449569434656,2.30854976897084e-73,6.19526574258361e-72
"ENSG00000224675",2.59021950912506,1.28305921937778,9.39252212589478e-73,2.49349099294588e-71
"ENSG00000006611",2.57716358159187,5.69488801968893,1.14632609504033e-72,3.0339021037572e-71
"ENSG00000189196",2.92175023701702,-1.64404806698223,3.0575775552559e-72,8.02469006814125e-71
"ENSG00000230251",2.74905268844512,-1.0260478882997,6.2984468242936e-72,1.64182363862525e-70
"ENSG00000150275",2.55237091799896,6.2035503675768,1.41089213443971e-71,3.65847611604715e-70
"ENSG00000228304",2.79719459224191,-1.51338817461095,2.39055007781242e-71,6.18946542618624e-70
"ENSG00000150244",2.60642789217059,0.537948876512279,5.3148588044824e-71,1.36993359117773e-69
"ENSG00000262152",2.51379607133793,1.49205041336713,2.52858127532356e-69,6.39827319045086e-68
"ENSG00000232930",2.52006053931709,0.415291457327815,6.14431572077185e-69,1.54232587428089e-67
"ENSG00000225293",3.9801766595657,-3.37368329650396,8.17765346173363e-69,2.0482651587306e-67
"ENSG00000249958",2.59921908945371,-0.456922739486172,2.82014034550187e-68,7.00274073579542e-67
"ENSG00000136573",2.62434966156117,-0.821626973960413,2.13462456797428e-67,5.25522066894807e-66
"ENSG00000230552",2.57850283838897,-0.745579550344259,1.7561842074976e-66,4.25982506190558e-65
"ENSG00000240103",2.86031335263316,-2.20453422396936,2.96277625749392e-65,7.06264560967431e-64
"ENSG00000256746",2.60304848147108,-1.55334063749275,7.97344444342211e-63,1.81197966592298e-61
"ENSG00000235366",2.79909859106931,-2.34757156722086,2.65291241310529e-62,5.98159931891614e-61
"ENSG00000231934",2.68212626172631,-1.85936027182719,4.96726155198076e-62,1.11634197362949e-60
"ENSG00000236744",3.09695721986201,-2.88309114407898,1.83280646754908e-61,4.06878327237212e-60
"ENSG00000145888",2.5544599245861,-1.68592637221033,1.83412437405777e-60,4.00483316420133e-59
"ENSG00000258748",2.55704665556233,-1.88894669837379,3.59565366074818e-59,7.65765673344184e-58
"ENSG00000230830",2.53109289909994,-1.72435647549626,4.30550010666431e-59,9.16376916175197e-58
"ENSG00000211658",2.61875875701259,-1.92969413169379,1.67810640643694e-58,3.53897180832781e-57
"ENSG00000249706",2.57235449966879,-2.17903817738268,3.19451615809372e-55,6.33860223906483e-54
"ENSG00000253220",2.57535669932519,-2.31083951082919,9.85245304775233e-55,1.94266993494329e-53
"ENSG00000256614",3.65280525022093,-3.59643243572682,2.4530603169591e-54,4.78229158802545e-53
"ENSG00000124157",2.82658675875894,-2.99178198258965,1.08368062287933e-52,2.02144742200886e-51
"ENSG00000281460",2.56008944967437,-2.55362338067569,8.67044045042035e-51,1.56498054396229e-49
"ENSG00000267924",2.55119687424831,-2.8297014404392,1.92004052809298e-48,3.27734325202636e-47
"ENSG00000256025",2.5295734661305,-2.93170995020687,1.04103394732949e-47,1.75186652334196e-46
"ENSG00000279942",2.58808740495835,-3.01575377730557,3.9558290189993e-47,6.58003994425942e-46
"ENSG00000230782",2.60501924649264,-3.03968342395307,5.67732538006432e-47,9.39381291344773e-46
"ENSG00000253434",2.74940699968308,-3.3464239085934,3.70446865439113e-45,5.87631753276867e-44
"ENSG00000254060",2.55578446405422,-3.39992878273431,7.97749255760283e-42,1.17436980516841e-40
"ENSG00000236875",3.17898509936692,-3.82908821641061,1.46024339799955e-41,2.13869970558705e-40
"ENSG00000267338",3.06327317658643,-3.80617677599658,4.28078900879388e-41,6.19102393677658e-40
"ENSG00000183559",2.85720072550113,-3.67216430266195,5.47703784597541e-41,7.89794798273426e-40
"ENSG00000227159",3.19491851739668,-3.91570039908247,2.40131265339983e-40,3.3891944411909e-39
"ENSG00000228215",2.63858129805941,-3.58864170960357,1.09280615454857e-38,1.47665538436166e-37
"ENSG00000225574",3.06418214987799,-3.96856751704101,3.80161735204667e-37,4.93624732432356e-36
"ENSG00000189299",2.76327176599743,-3.8501037914466,2.12586931136163e-35,2.6337158690758e-34
"ENSG00000278255",2.71183877415794,-3.82674902801161,7.79417695168372e-35,9.51627433185969e-34
"ENSG00000237388",3.16759668579562,-4.12072059311745,7.88130736222394e-35,9.61925808528497e-34
"ENSG00000237767",2.87312132864382,-3.98747608077197,9.5998657030209e-34,1.14341612000316e-32
"ENSG00000270222",2.84206837711579,-4.03213811869365,9.77871891082312e-34,1.16431766845539e-32
"ENSG00000261364",2.74009882437526,-3.92407006686829,3.10330719066576e-33,3.63612925577499e-32
"ENSG00000266196",2.69160288378504,-3.94542336342345,5.06741353850307e-32,5.77117459500357e-31
"ENSG00000282842",2.79527595544318,-4.07002346349328,1.10889012329187e-31,1.2521655377845e-30
"ENSG00000269509",2.50287741525017,-3.84873840151876,5.26002598550011e-30,5.66924846238888e-29
"ENSG00000259016",2.62494138838103,-4.14265213381773,1.13432966431253e-27,1.13778597930826e-26
"ENSG00000179420",2.58146838326223,-4.15372853051339,7.83563853507404e-27,7.65730409852514e-26
"ENSG00000250376",2.78672258370689,-4.33408591104371,2.12372612333292e-26,2.04475190676886e-25
"ENSG00000259769",2.51340246843889,-4.20321872994086,2.73478545670944e-24,2.43002209026123e-23
"ENSG00000255304",2.65979511968334,-4.39337809995908,1.06536814076814e-22,8.94883348375476e-22
"ENSG00000211979",2.54280385260421,-4.32841862907103,1.65478371625577e-22,1.38058409732997e-21
